"","file_list","tempmean","tempmedian","tempmin","tempmax","tempdiff","depthmean","salinmean","salinmedian","salinmin","salinmax"
"38","02212022_NP1.xlsx","3.92839100346021","3.72","-0.34","7.82","-1.31","-1.61695501730104","30.1382179930796","30.21","27.78","31.7"
"39","02212022_NP3.xlsx","4.82579861111111","4.37","1.72","7.87","-0.18","2.26383680555556","28.1235590277778","28.13","25.92","29.67"
"40","02212022_NP6.xlsx","4.24237847222222","4.04","0.07","7.32","-2.51","6.12703125","30.5585069444444","30.57","8.33","32.82"
"41","02212022_PP1.xlsx","3.93975862068966","3.63","0.03","7.88","-3.13","-1.36343103448276","28.0843793103448","28.19","25","29.33"
"42","02212022_PP3.xlsx","4.10532871972318","4.03","0.81","7.45","-1.48","-3.21657439446367","27.0768512110727","27.05","25.5","29.1"
"43","02242022_NP1.xlsx","5.27101754385965","5.32","3.05","7.72","-0.52","-1.66582456140351","29.6175087719298","29.6","27.77","31.01"
"44","02242022_NP3.xlsx","5.46555944055944","5.53","3.89","7.22","-1.7","2.37737762237762","28.0664685314685","28.09","26","29.41"
"45","02242022_PJ7.xlsx","5.06370629370629","4.99","3.21","8.31","-1.91","2.90115384615385","16.8324125874126","22.285","4.3","27.31"
"46","02242022_PP1.xlsx","5.36442508710801","5.44","3.44","7.46","-1.71","-0.978188153310105","27.7104529616725","27.64","25.72","29.44"
"47","02242022_PP3.xlsx","5.27384615384615","5.31","3.44","7.28","-2.05","-3.20870629370629","26.9301048951049","26.915","24.96","28.67"
"48","03012022_NP1.xlsx","3.55829521829522","3.57","1.33","5.6","0.26","-1.54862785862786","29.7399168399168","29.82","28.01","31.44"
"49","03012022_NP3.xlsx","4.87454926624738","4.99","2.8","6.87","0.5","2.34566037735849","29.2214255765199","29.43","26.55","30.23"
"50","03012022_NP7.xlsx","3.83453027139875","3.82","1.98","6.32","1.56","5.63179540709812","29.4811691022965","29.61","26.61","31.81"
"51","03012022_PJ7.xlsx","5.11544885177453","5.06","2.76","6.57","0.72","3.12398747390397","27.0853027139875","27.25","22.3","28.53"
